Grado,Asignatura,ID,Errors
8,Sociales y Ciudadanas,CO-SOC-8-DERECHOS-001,"V3.0: Missing Periodo"
8,Sociales y Ciudadanas,CO-SOC-8-INDEPENDENCIA-001,"V3.0: Missing Periodo"
8,Sociales y Ciudadanas,CO-SOC-8-REVOLUCIONES-001,"V3.0: Missing Periodo"
9,sociales-ciudadanas,CO-SOC-9-colombia-siglo-xx-001,"V3.0: Missing Periodo"
9,sociales-ciudadanas,CO-SOC-9-demografia-001,"V3.0: Missing Periodo"
9,sociales-ciudadanas,CO-SOC-9-derechos-humanos-001,"V3.0: Missing Periodo"
9,sociales-ciudadanas,CO-SOC-9-dictaduras-latam-001,"V3.0: Missing Periodo"
9,sociales-ciudadanas,CO-SOC-9-economia-001,"V3.0: Missing Periodo"
9,sociales-ciudadanas,CO-SOC-9-economia-sectores-001,"V3.0: Missing Periodo"
9,sociales-ciudadanas,CO-SOC-9-entreguerras-001,"V3.0: Missing Periodo"
9,sociales-ciudadanas,CO-SOC-9-geografia-001,"V3.0: Missing Periodo"
9,sociales-ciudadanas,CO-SOC-9-globalizacion-001,"V3.0: Missing Periodo"
9,sociales-ciudadanas,CO-SOC-9-guerra-fria-001,"V3.0: Missing Periodo"
9,sociales-ciudadanas,CO-SOC-9-imperialismo-001,"V3.0: Missing Periodo"
9,sociales-ciudadanas,CO-SOC-9-medio-ambiente-001,"V3.0: Missing Periodo"
9,sociales-ciudadanas,CO-SOC-9-organismos-internacionales-001,"V3.0: Missing Periodo"
9,sociales-ciudadanas,CO-SOC-9-participacion-001,"V3.0: Missing Periodo"
9,sociales-ciudadanas,CO-SOC-9-primera-guerra-001,"V3.0: Missing Periodo"
9,sociales-ciudadanas,CO-SOC-9-revolucion-rusa-001,"V3.0: Missing Periodo"
9,sociales-ciudadanas,CO-SOC-9-segunda-guerra-001,"V3.0: Missing Periodo"
3,Tecnología e Informática,CO-TEC-3-algoritmos-vida-001,"V3.0: Missing Periodo"
3,Tecnología e Informática,CO-TEC-3-herramientas-hogar-001,"V3.0: Missing Periodo"
